artifacts,command,id,kind,note,stage,status,time,ref
,,E012,decision,Episodes for BOTH years are built from the MMSDM 2026-08 final-state tables (one consistent source). Weekly NOS snapshots are used only for year-2 booking reliability (RQ7) and for reconciliation. Supersedes the year-1/year-2 split in METHODOLOGY 2,S1,recorded,2026-09-24T01:29:40+08:00,
,curl probes of Geoscience Australia services for transmission substation and power station layers,E013,start,find public coordinates for K4/K5,S0-locations,started,2026-09-24T01:29:40+08:00,
['data/nos_regime_v1/raw/osm/au_power.json'],,E014,finish,"closes E013. Geoscience Australia services returned 403/404 (blocked). Fallback: OpenStreetMap (ODbL) named power=substation and power=plant elements, NEM bbox, via overpass.private.coffee (overpass-api.de timed out)",S0-locations,partial,2026-09-24T01:36:56+08:00,E013
,,E015,decision,"Location source changed from GA to OpenStreetMap (ODbL, snapshot timestamp recorded in sources). Coordinates are matched to AEMO substations by name; confidence recorded; unmatched are left blank",K4,recorded,2026-09-24T01:36:56+08:00,
,python -c 'from nemic.experiments.nos_regime.episodes import build_episodes; build_episodes()',E016,start,NEM-wide episodes from MMSDM final state,S1,started,2026-09-24T01:38:47+08:00,
"['data/nos_regime_v1/episodes.parquet', 'data/nos_regime_v1/episode_assets.parquet', 'data/nos_regime_v1/episode_sets.parquet']",,E017,finish,"closes E016. 37,136 episodes overlapping window (18,503 yr1 / 18,633 yr2); 13,639 withdrawn; 7,484 with linked sets; 66,216 episode-assets; 19,912 with actual windows. Reconciliation: 26,454/26,454 weekly-NOS year-2 outage IDs present in the MMSDM table (gate met)",S1,completed,2026-09-24T01:39:52+08:00,E016
,python -c 'from nemic.experiments.nos_regime.state import build_state; build_state()',E018,start,"invocation spells, leaders, relevance filter, half-hour family coverage, all six connectors",S3-S4-state,started,2026-09-24T01:40:03+08:00,
"['data/nos_regime_v1/set_relevance.parquet', 'data/nos_regime_v1/family_coverage_30min.parquet', 'data/nos_regime_v1/family_leading_30min.parquet', 'data/nos_regime_v1/invocation_merged.parquet']",,E019,finish,"closes E018. 6,897 spells, 3,714 invoked families. Relevant: QNI 51, Directlink 28, VNI 107, Heywood 87, Murraylink 118, Basslink 19 (410 pairs, 237 distinct). Excluded: 1,678 '#', 65 led<12, 6 always-on. After filtering, share of time with >=1 relevant family fully invoked: VNI 98.6%, Murraylink 84%, Heywood 79%, QNI 57%, Basslink 47%, Directlink 40%. Per-family active share P50 0.4-0.7% -> the family on/off contrast has ample controls",S3-S4-state,completed,2026-09-24T01:42:09+08:00,E018
,python -c 'from nemic.experiments.nos_regime.keys import build_keys; build_keys()',E020,start,K1-K5 keys; OSM name crosswalk; K5 electrical sensitivities,S2-keys,started,2026-09-24T01:42:09+08:00,
"['data/nos_regime_v1/outage_keys.parquet', 'data/nos_regime_v1/k5_electrical.parquet', 'execution/nos_outage_regime_v1/reference/substation_crosswalk.csv']",,E021,finish,"closes E020. 1,023 AEMO substations; 497 matched to OSM coordinates (name match, same region, <=10 km spread, medium confidence). Episode primary assets: K3 resolved 98.8%, K4 73.9%. Location source: 22,715 asset+coords, 7,648 substation only, 6,416 set-only (N/A asset), 357 asset only. K5 electrical: 3,683 DUID rows across 380 connector-family pairs. Spot check OK (e.g. Millmerran 330kV -> south-west of Toowoomba 80 km; Wetherill Park)",S2-keys,completed,2026-09-24T01:46:26+08:00,E020
,,E022,decision,"The ISP sub-region reference was not retrieved. K4 area_key = region + nearest of 58 reference places + compass octant (central if <15 km); area_label is the readable form (e.g. 'north-west of Sydney (35 km)'). K5 geographic = OSM power plants within 50 km (names, not DUIDs)",K4,recorded,2026-09-24T01:46:26+08:00,
,,E023,decision,"Matching bins use the regime report's P20/P80 terciles of temperature_mean, vre_difference and residual_difference per connector-direction-season (2023-26 history). Day type = weekend or public holiday in either endpoint state (holidays 0.76). Relevance uses leading intervals only (published-binding flags are not time-resolved locally). K1 uses the episode's primary asset. DUID pressure uses leader-level tightening/relief aggregates",S5,recorded,2026-09-24T01:46:27+08:00,
,python scripts/run_nos_regime.py --stage compare --ics VIC1-NSW1 V-SA --tag pilot,E024,start,pilot compare VNI + Heywood; gate evaluation,S-1-pilot,started,2026-09-24T01:46:27+08:00,
[],,E025,finish,closes E024. TypeError in regime_panel nem_date (bool->timedelta). Fixed with astype(int),S-1-pilot,failed,2026-09-24T01:46:56+08:00,E024
,,E026,decision,"Matching ladder: (1) exact other-family signature + full key; (2) other-family count + other-leading flag + full key; (3) coarse: season, daytype, temperature tercile, year + count. Each rung tries the same half-hour first, then +/-1 half-hour, all within +/-21 days in the same study year. match_type recorded per unit; the share per rung is reported. SMD uses the pre-matching pooled SD. Pilot smoke: median match ~0.85, placebo-clean 0.74-0.81",G9,recorded,2026-09-24T01:49:33+08:00,
,python scripts/run_nos_regime.py --stage compare --ics VIC1-NSW1 V-SA --tag pilot,E027,start,pilot compare VNI + Heywood with matching ladder,S-1-pilot,started,2026-09-24T01:49:33+08:00,
,"inline smoke tests of compare.Context/run_effect on V-SA and VIC1-NSW1 (forward, families >=24h)",E028,check,"Strict matching failed (match 0-75%); after the ladder, median match 0.85, placebo clean 0.74-0.81, ~0.4 s per family-direction incl. placebo. The earlier 'finish E025' attempt was invalid (E025 was not a start)",S5-dev,completed,2026-09-24T01:59:34+08:00,
"['data/nos_regime_v1/tables', 'execution/nos_outage_regime_v1/pilot_summary.md']",,E029,finish,"closes E027. Pilot gate MET: supported families VNI 26, Heywood 28 (match>=0.6, placebo clean); K3 98.8%. See pilot_summary.md",S-1-pilot,completed,2026-09-24T01:59:58+08:00,E027
,,E030,decision,"The PLAN S5 gate 'placebo CIs include 0 for >=90% of supported families' holds by construction (the support tier requires a clean placebo). The honest measure reported instead: placebo-clean share among pre-gate eligible families (>=5 episodes, >=24 h, match>=0.6). Pilot: VNI 0.71, Heywood 0.86. Below 0.90 is flagged as residual confounding in the report, not a stop",S5-gate,recorded,2026-09-24T02:00:10+08:00,
,python scripts/run_nos_regime.py --stage compare --tag full,E031,start,all six connectors; background run; stdout in data/nos_regime_v1/logs/compare_full.log,S5-full,started,2026-09-24T02:00:10+08:00,
,python -m pytest -q tests/test_nos_regime.py,E032,check,"13 tests pass (norm/area label, spell merge+coverage, bootstrap determinism, tier rules, lookup back-off, toy matching recovers -100 MW, placebo clean on toy, log helper)",S7-tests,completed,2026-09-24T02:01:56+08:00,
['data/nos_regime_v1/logs/compare_full.log'],,E033,finish,"closes E031. Stopped deliberately after QNI (QNI: 20 supported families, median match 0.94). A section preview showed that outages with an N/A substation lose their asset key although EQUIPMENTDETAIL names the line (e.g. Dumaresq330-Sapphire 8J 330kV LINE). Fixing K1 before the full rerun",S5-full,partial,2026-09-24T02:08:56+08:00,E031
,python scripts/run_nos_regime.py --stage episodes && python scripts/run_nos_regime.py --stage keys,E034,start,element-described N/A assets get key EL<ELEMENTID>; K3 via description parse (low confidence),S1-S2-rerun,started,2026-09-24T02:08:56+08:00,
"['data/nos_regime_v1/episodes.parquet', 'data/nos_regime_v1/outage_keys.parquet']",,E035,finish,"closes E034. Element-described N/A assets now keyed EL<ELEMENTID> with EQUIPMENTDETAIL description (type inferred from description). 7,216 episodes affected; 62.9% resolve to a substation via description parse with a voltage tie-break (confidence low). Overall: no set_only episodes; K3 91.8%, K4 68.3%; 3,050 asset-only",S1-S2-rerun,completed,2026-09-24T02:11:26+08:00,E034
,,E036,decision,K1 includes element-described assets (EL<ELEMENTID>) so specific lines like 'Dumaresq330-Sapphire 8J 330kV LINE' get asset-level lookup entries. K3 for those assets comes from a description parse (low confidence),G7-K1,recorded,2026-09-24T02:11:26+08:00,
,python -W ignore scripts/run_nos_regime.py --stage compare --tag full,E037,start,"rerun, all six connectors, after the K1 fix",S5-full,started,2026-09-24T02:11:33+08:00,
,,E038,decision,"METHODOLOGY.md updated to match the implementation: sources, relevance, states, K1-K5 provenance, back-off, matching ladder, event study, spillover, mechanics, booking reliability, tiers, lineage; deviation table added (section 9)",docs,recorded,2026-09-24T02:14:42+08:00,
"['data/nos_regime_v1/tables', 'data/nos_regime_v1/logs/compare_full.log']",,E039,finish,"closes E037. All six connectors complete. Supported families: QNI 20, Directlink 16, VNI 26, Heywood 28, Murraylink 36, Basslink 9 (135). Median match: 0.94/0.96/0.86/0.87/0.84/0.99. Placebo-clean share (all evaluated): 0.75/0.83/0.72/0.74/0.80/0.94. Supported K1 assets: 34/22/47/55/70/17",S5-full,completed,2026-09-24T02:36:31+08:00,E037
,python -W ignore scripts/build_nos_regime_section.py,E040,start,"section + downloads + v2 manifest, from cached tables",S6-report,started,2026-09-24T02:36:31+08:00,
,python -m pytest -q; validate_report.py; playwright desktop/narrow,E041,start,final validation,S7-validate,started,2026-09-24T02:39:15+08:00,
"['reports/all_interconnector_regime_research_20260921/index.html', 'reports/all_interconnector_regime_research_20260921/build_manifest.json', 'reports/all_interconnector_regime_research_20260921/build_manifest_v1.json']",,E042,finish,"closes E040. Section built from cached tables: 135 supported families, 1,028 lookup rows, 18 nos_ downloads, 15 figures. v2 manifest; 16/16 v1 outputs unchanged. Wording corrected for booked->invoked (near-tautological) and non-zero booked-only/withdrawn checks",S6-report,completed,2026-09-24T02:40:58+08:00,E040
"['execution/nos_outage_regime_v1/report_visual_qa.json', 'execution/nos_outage_regime_v1/RESULTS_SUMMARY.md']",,E043,finish,closes E041. pytest 169 passed; validator PASS; desktop 1360 and narrow 390 render with no page errors or horizontal overflow; lookup filter works. Campaign complete: all six connectors analysed,S7-validate,completed,2026-09-24T02:40:58+08:00,E041
,python -c 'from nemic.experiments.nos_regime.extras import build_extras; build_extras()',E044,start,"derived report tables: DUID pressure, 48 half-hour diurnal, footprint, flow response",S5b-extras,started,2026-09-24T07:08:08+08:00,
['data/nos_regime_v1/report_tables'],,E045,finish,"closes E044. duid_pressure 2,364 rows; diurnal_48 2,880; footprint 2,610; flow_response 240",S5b-extras,completed,2026-09-24T07:09:12+08:00,E044
,python -W ignore scripts/build_nos_outage_report.py,E046,start,standalone comprehensive editorial report reports/nos_outage_regime_research_20260924,S8-report,started,2026-09-24T07:13:31+08:00,
,,E047,decision,At-limit effect redefined as a share difference over matched units (mean treated flag - mean control median). The earlier median of 0/1 differences was degenerate (+100 pp / 0 pp). Applied to both report builders and the methodology; key-level lookup no longer shows at-limit. State-table prose made data-driven,S8-report,recorded,2026-09-24T07:17:07+08:00,
