SOURCE_ID,TITLE,PUBLISHER,PUBLICATION_DATE,URL,LOCATOR,FACT_USED,LIMITATIONS,ACCESS_STATUS,REVIEW_DATE
S14,Q1 2026 Management Discussion and Analysis,Banpu / Thai SEC,2026-05-12,https://market.sec.or.th/public/idisc/Download?FILEID=dat%2Fnews%2F202605%2F0148NWS120520260708158910E.pdf,"Australia discussion, pp.9-10","Q1 2026 Australian mixed ASP A$153.89/t, cost A$152.57/t.",Mixed-market and mine-cost measures; not domestic delivered station prices.,PUBLIC_PRIMARY_TEXT,2026-09-19
S15,Independent financial adviser opinion on amalgamation,Banpu Power / independent financial adviser,2026-01-07,https://www.banpupower.com/wp-content/uploads/2026/01/1313NWS070120261751295780E.pdf,Section 5 p.100; PDF p.200,BPA valuation used book-value approach; future Australian mine production/prices could not be estimated sufficiently for DCF.,Transaction opinion supplies no usable current station tariff.,PUBLIC_PRIMARY_TEXT,2026-09-19
S16,2025 annual results analyst briefing transcript,CLP,2026-02-26,https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-2-results---presentations/2025/CLP%20Holdings_2025%20Annual%20Results%20Analyst%20Briefing_Transcript.pdf.coredownload.pdf,Australia performance discussion,Higher Mt Piper coal costs noted.,"Qualitative direction, not price/GJ.",PUBLIC_PRIMARY_TEXT,2026-09-19
S17,Chain Valley Colliery consolidation project,Delta Electricity,undated,https://www.deltapae.com.au/operations/chain-valley-colliery/chain-valley-colliery-environment/consolidation-project,Project overview,"Around 1.3Mt/year, approximately half of Vales Point coal requirements.",Approximate physical tonnage share; current energy share and component prices not disclosed.,PRIMARY_INDEXED_TEXT; direct access restricted,2026-09-19
S18,"Chain Valley consolidation approved, limited to Vales Point",NSW Independent Planning Commission,2026-04,https://www.ipcn.nsw.gov.au/news/chain-valley-colliery-consolidation-project-approved-limited-supplying-vales-point-power,Decision summary,Extracted coal restricted to Vales Point; mine life to 31 December 2029.,Supply restriction does not set price or actual blend.,PUBLIC_PRIMARY_TEXT,2026-09-19
S19,Chain Valley applicant meeting transcript,NSW Independent Planning Commission,2026-02-09,https://www.ipcn.nsw.gov.au/sites/default/files/2026-02/Chain%20Valley%20Colliery%20Consolidation%20Project_Applicant%20meeting%20transcript.pdf,p.8,Applicant explains Chain Valley is not always the cheapest coal source; logistics and security matter.,No numeric captive or external price disclosed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S20,2025 Form 10-K / annual report,Coronado Global Resources / SEC,2026,https://www.sec.gov/Archives/edgar/data/1770561/000110465926046838/tm264496d1_ars.pdf,Stanwell agreements and amendments; pp.17-19; related financing notes,"Legacy thermal contract below supplier cost through 2025; 2025 amendments include prepayments, rebate changes and additional future tonnage.",Financing and deferred accounting are not a simple delivered coal tariff; supplier thermal/export mix is not station exposure.,PUBLIC_PRIMARY_TEXT,2026-09-19
S21,December 2025 quarterly report,Coronado Global Resources / SEC,2026-01,https://www.sec.gov/Archives/edgar/data/1770561/000110465926007024/tm264164d1_ex99-1.htm,Stanwell coal supply agreement,Contract reset advanced into 2026.,No complete all-in station cost disclosed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S22,Q2 2026 Form 10-Q,Coronado Global Resources / SEC,2026,https://www.sec.gov/Archives/edgar/data/1770561/000156276226000094/Form10q2026q2.htm,Stanwell / NCSA and deferred right-to-mine discount discussion,NCSA timing expected in Q2 2027; continuing deferred contractual balances.,Update must be read with earlier amendments; does not support a timeless fixed-price assumption.,PUBLIC_PRIMARY_TEXT,2026-09-19
S23,Meandu Mine,Stanwell,undated,https://www.stanwell.com/meandu-mine,Mine overview,Meandu exclusively supplies adjacent Tarong stations; 1.5km conveyor; capacity 7.6Mtpa.,Capacity is not actual annual output; no mine cost disclosed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S24,Golding awarded Stanwell Meandu Mine contract,NRW Holdings,2026-01-19,https://nrw.com.au/golding-awarded-stanwell-meandu-mine-contract/,Contract announcement,A$750m over 5.5 years; capital-light mining contract.,Contract revenue excludes some owner costs and is forward nominal money.,PUBLIC_PRIMARY_TEXT,2026-09-19
S25,HY26 results presentation,NRW Holdings,2026-02-19,https://announcements.asx.com.au/asxpdf/20260219/pdf/06wgt7sqywy861.pdf,p.9,Meandu operational control July 2026; 100% client-owned fleet.,Owner fleet depreciation/capital cost not captured by contractor-only quotient.,PUBLIC_PRIMARY_TEXT,2026-09-19
S26,Kogan Creek contract extension,NRW Holdings,2021-11-15,https://announcements.asx.com.au/asxpdf/20211115/pdf/452yzygjvz0n4n.pdf,Contract terms,"A$150m four-year contract July 2022-June 2026, further four-year option; contractor provides major equipment.",Option exercise and current all-in owner cost not verified.,PUBLIC_PRIMARY_TEXT,2026-09-19
S27,Kogan Creek Power Station,CS Energy,undated,https://www.csenergy.com.au/what-we-do/thermal-generation/kogan-creek-power-station,Fuel supply,"Owned adjacent mine, coal supplied by conveyor.",Does not disclose delivered cost.,PUBLIC_PRIMARY_TEXT,2026-09-19
S28,Annual Report 2022,CS Energy,2022,https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202022%20ONLINE.pdf.aspx,p.25,Long-term coal arrangements insulated from international price movements; Kogan captive and Callide non-market-linked.,Historical contract description; later amendments must be checked.,PUBLIC_PRIMARY_TEXT,2026-09-19
S29,Our Jim & Felicja Superfund v Lindenfels [2026] FCA 307,"Federal Court, reproduced by Changeflow",2026-03-20,https://changeflow.com/govping/courts-legal/shareholder-oppression-claim-dismissed-20th-mar-2026-04-02,Paragraphs 153 and 159-160,"2016 transaction context: approximate A$27/t domestic coal, mandatory CSE 2.4Mtpa to 2032 and CPM 3Mtpa to 2033; domestic priority.","Historical price, not current invoice. Indexed reproduction; official court endpoint restricted and mirror direct link returned 410. Treat as historical research lead with access limitation.",INDEXED_JUDGMENT_REPRODUCTION,2026-09-19
S30,Oppression is not unlawfulness,Johnson Winter Slattery,2026-05-26,https://jws.com.au/what-we-think/oppression-is-not-unlawfulness-federal-court-reinforces-boundary-between-breach-of-duty-and-statutory-oppression/,Case discussion,Confirms identity and outcome of FCA 307 litigation concerning Batchfire.,"Lawyer commentary corroborates case, not independently the A$27/t passage.",PUBLIC_PRIMARY_TEXT,2026-09-19
S31,About Batchfire,Batchfire Resources,undated,https://www.batchfire.com.au/about/,Coal products,Domestic product 4550 kcal/kg as received; export product 4500-5000 GAR.,Product specification may vary; not station invoice or realized annual quality.,PUBLIC_PRIMARY_TEXT,2026-09-19
S32,Callide joint coal purchasing submission,ACCC public register,2006,https://www.accc.gov.au/system/files/public-registers/documents/D06%2B58398.pdf,Paragraph 12.5,Common coal bunker and bookkeeping allocation between B and C.,"Historical operational arrangement, not proof that all current contract charges are identical.",PUBLIC_PRIMARY_TEXT,2026-09-19
S33,Downer awarded Commodore contract,Downer / NZX,2018-09-05,https://www.nzx.com/announcements/323414,Contract announcement,A$286m five-year mining services contract ending August 2024.,Contract service revenue is not total station fuel cost and contract has expired.,PUBLIC_PRIMARY_TEXT,2026-09-19
S34,Commodore project,BUMA Australia,undated,https://buma.com.au/project/commodore/,Project description,Mine exclusively supplied Millmerran; historical average 3.6Mt raw coal annually; contract ended August 2024.,"Historical throughput, no verified successor contract price.",PUBLIC_PRIMARY_TEXT,2026-09-19
S35,"Queensland Coals, 14th edition",Queensland Government; Minedocs reproduction,2003,https://minedocs.com/22/Queensland_Coals-Other-2003.pdf,"Table 4, PDF p.8","Historical station fuel energy: Millmerran 17.6, Tarong 19.6, Callide 19, Stanwell 26-30 GJ/t.","Old engineering reference, not contemporary assays; original parliamentary copy could not be retrieved.",PUBLICATION_REPRODUCTION,2026-09-19
S36,Loy Yang site visit webcast transcript,AGL,2018-10-23,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2018/20181023-transcript-from-webcast-loy-yang.pdf,"PDF p.5, exchange at lines 206-209",Management indicated roughly A$4/t all-up coal cost.,Historical approximate verbal disclosure; question partially inaudible; cash/accounting scope not fully specified.,PUBLIC_PRIMARY_TEXT,2026-09-19
S37,Calculation of energy costs in BRCI 2010-11,ACIL / Queensland Competition Authority,2010,https://www.qca.org.au/wp-content/uploads/2019/05/11873_ACIL-Final-Report-Calculation-of-Energy-Costs-in-the-BRCI-for-2010-11-4.pdf,Brown coal assumptions table,Loy Yang energy content 8.2GJ/t; differentiates total and variable mining cost.,"Very old consultant assumptions used only as a conversion sensitivity, not current truth.",PUBLIC_PRIMARY_TEXT,2026-09-19
S38,"Loy Yang B Act 1992, Schedule 1",Victorian legislation / AustLII,1992,https://classic.austlii.edu.au/au/legis/vic/consol_act/lyba1992114/sch1.html,Coal supply agreement definition,Contract architecture includes capability and coal-consumption payments.,"Historic statutory agreement description, not current price or escalation schedule.",PUBLIC_LEGISLATION_REPRODUCTION,2026-09-19
S39,Thiess awarded Yallourn mining extension,CIMIC / HOCHTIEF,2017-06-01,https://www.hochtief.com/news-media/press-releases/press-release/cimics-thiess-awarded-195-million-yallourn-mining-extension-1,Contract announcement,"RTL total revenue approximately A$450m; Thiess share A$195m; extension to 2026; includes coal, overburden and conveyors.",Partner share must not be mistaken for total contract cost; throughput and owner costs still needed.,PUBLIC_PRIMARY_TEXT,2026-09-19
S40,Yallourn power station and mine,CLP,undated,https://www.clpgroup.com/en/about/our-business/assets-and-services/australia/yallourn-coal-fired-power-station-and-brown-coal-open-cut-mine.html,Asset overview,Integrated brown-coal mine/power station; scheduled closure mid-2028.,No public current cost/GJ.,PUBLIC_PRIMARY_TEXT,2026-09-19
S41,GPS Power v CS Energy [2018] QSC 294,"Supreme Court of Queensland, CaseChat reproduction",2018,https://www.casechat.au/cases/au/gps-power-pty-ltd-v-cs-energy-ltd-2,IPPA clause 23 and coal arrangements,"Gladstone arrangements distinguish coal supply, rail costs and contractual averaging.",Historical litigation; no single current station tariff; appeal also relevant.,INDEXED_JUDGMENT_REPRODUCTION,2026-09-19
S42,CS Energy v GPS Power [2021] QCA 194,"Queensland Court of Appeal, CaseChat reproduction",2021,https://casechat.au/cases/au/cs-energy-limited-v-gps-power-pty-limited,Coal stockpile/IPPA dispute,Appellate treatment confirms need to consider contractual stockpile/accounting arrangements.,"Used for commercial structure only, not a legal conclusion or current price.",INDEXED_JUDGMENT_REPRODUCTION,2026-09-19
S43,Annual Report 2025,CS Energy,2025-09-26,https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202025%20FULL%20COLOUR%2020250926.pdf.aspx,Fuel expense and Gladstone onerous contract notes,Group fuel expense A$172.456m; Gladstone onerous-contract provision is a different accounting item.,No station split. Provision is not annual coal expense.,PRIMARY_PDF_DOWNLOADED,2026-09-19
S44,2024 fuel price forecast report,ACIL Allen / AEMO,2025-02-25,https://aemo.com.au/-/media/files/major-publications/isp/2025/acil-allen-2024-fuel-price-forecast-report.pdf,p.33 and Appendix C,Forward modelling uses export parity/mine economics and assumes Bayswater legacy contract expiry FY2030.,Scenario forecast in real January 2024 dollars; not observed station invoices. Peabody S01 specifies 2028 for its AGL contract.,PUBLIC_PRIMARY_TEXT,2026-09-19
S45,"Consumer Price Index, June quarter 2025",ABS,2025-07-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jun-quarter-2025,"All groups, weighted average eight capitals",June 2025 CPI 141.7; June 2024 138.8; December 2021 121.3.,"General CPI conversion, not actual coal-contract escalation.",PUBLIC_PRIMARY_TEXT,2026-09-19
S46,"Consumer Price Index, September quarter 2016",ABS,2016,https://www.abs.gov.au/ausstats/abs@.nsf/7d12b0f6763c78caca257061001cc588/7c3192fae31616f9ca2580b20076cf0f!OpenDocument,"All groups, weighted average eight capitals",September 2016 index 109.4.,Quarter used as approximate transaction-era anchor.,PUBLIC_PRIMARY_TEXT,2026-09-19
S47,Submission discussing CPI indexation,David Hardidge / Australian Treasury host,2019,https://treasury.gov.au/sites/default/files/2019-04/c2019-t342318-david_hardidge.pdf,Historical CPI series,September 2018 index 113.5.,"Third-party submission on official host; standard CPI input, not a coal-cost source.",PUBLIC_SECONDARY_DOCUMENT,2026-09-19
S48,Annual Report 2026,AGL,2026-08-12,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2026/260812-2026-annual-report.pdf,"Operating and financial review, fuel costs","FY26 coal fuel expense A$666m and A$26.0/MWh across Bayswater and Loy Yang A, up from A$583m and A$22.0/MWh; increase driven by higher Bayswater supply costs.",Fleet aggregate cannot identify a station price without heat inputs and a Loy Yang allocation.,PRIMARY_PDF_LARGE,2026-09-19
S49,FY26 full-year results presentation,AGL,2026-08-12,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2026/260812-fy26-results-presentation-1.pdf,pp.4 and 31,"AGL contracted 2.9Mt of coal during FY26; FY26 pool volumes were 13,804GWh at Bayswater and 11,837GWh at Loy Yang A.","Contract delivery years, benchmark formula and whether tonnage is replacement or incremental were not disclosed.",PUBLIC_PRIMARY_TEXT,2026-09-19
S50,FY25 half-year results presentation,AGL,2025-02-12,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/news-centre/2025/250212-2025-half-year-results-presentation.pdf,p.19,"Wilpinjong covered about 75% of Bayswater FY25 demand; balance came from stockpile and long-term/spot purchases; Bayswater can burn 4,800kcal/kg coal below export quality.",Historical FY25 coverage is not a future international-price exposure percentage.,PUBLIC_PRIMARY_TEXT,2026-09-19
S51,Stanwell arrangements transaction presentation,Coronado Global Resources / SEC,2025-11,https://www.sec.gov/Archives/edgar/data/1770561/000110465925102549/tm2529515d2_ex99-1.htm,pp.17 and 33,"Legacy ACSA approximately 3.2Mtpa at A$40/t. From expected 2027, NCSA approximately 2.2Mtpa at A$50/t plus 0.8Mtpa split 50% fixed and 50% market/seaborne pricing; no NCSA export rebates.","Market pricing is explicit, but the public presentation does not provide the complete station-delivered formula, quality basis or rail charges.",PUBLIC_PRIMARY_TEXT,2026-09-19
S52,Second amendment to Stanwell coal supply agreement,Coronado Global Resources / SEC,2025-12-19,https://www.sec.gov/Archives/edgar/data/1770561/000110465925116582/tm2532291d1_8k.htm,Item 1.01,Export rebates waived from January 2026 until legacy ACSA expiry; NCSA term extended to 2043 with annual nominations of 1.2-2.24Mt.,Amendment changes rebate and term mechanics; it is not a complete delivered fuel-cost schedule.,PUBLIC_PRIMARY_TEXT,2026-09-19
S53,Annual Report 2025,CS Energy,2025-09-26,https://www.csenergy.com.au/ArticleDocuments/191/CS%20ENERGY%20ANNUAL%20REPORT%202025%20FULL%20COLOUR%2020250926.pdf.aspx,Fuel supply and financial notes,Kogan remains captive and Callide remains under long-term domestic supply; no new international-index formula is disclosed.,The earlier explicit no-international-exposure wording is from 2022; absence of a disclosed change is not proof no private amendment occurred.,PRIMARY_PDF_DOWNLOADED,2026-09-19
S54,Annual Report 2025,Banpu,2026-03,https://www.banpu.com/wp-content/uploads/2026/03/BANPU_OR_2025_EN_LINK_260308_web.pdf,Australian operations,Springvale serves domestic and international markets and the Lidsdale loader retains export capability.,Supplier export capability and production totals do not identify Mt Piper contract weights or station price exposure.,PUBLIC_PRIMARY_TEXT,2026-09-19
S55,Annual Report 2025,CLP Holdings,2026-02,https://www.clpgroup.com/content/dam/clp-group/channels/investor/document/3-3-financial-reports/2025/e_2025%20Annual%20Report.pdf,EnergyAustralia operating review,Mt Piper coal cost rose and supply reliability is managed through diversified arrangements.,"No mine allocation, export index or delivered station tariff disclosed.",PUBLIC_PRIMARY_TEXT,2026-09-19
